model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,12400,-1.1927248736222584,-2.246333599090576,-1.481569528579712,-1.1271228790283203,-0.8188331127166748,-0.8886100053787231,-0.5938801169395447
bidirectional,12500,-1.1184416711330414,-2.1719987392425537,-1.3759390115737915,-1.0957581996917725,-0.7403992414474487,-0.7371092438697815,-0.5894455909729004
bidirectional,12600,-1.128300408522288,-1.8521380424499512,-1.4985294342041016,-1.195867657661438,-0.8194523453712463,-0.817136824131012,-0.586678147315979
bidirectional,12700,-1.134204924106598,-2.306335926055908,-1.3822829723358154,-1.0623234510421753,-0.7094401717185974,-0.8308439254760742,-0.5140030980110168
bidirectional,12800,-1.0445660054683685,-1.7320449352264404,-1.3242136240005493,-1.0647172927856445,-0.7574604153633118,-0.7821345925331116,-0.6068251729011536
bidirectional,12900,-1.0391932129859924,-1.792553186416626,-1.1757720708847046,-1.1363054513931274,-0.7745886445045471,-0.8025863766670227,-0.5533535480499268
bidirectional,13000,-1.1341358174880345,-2.1912333965301514,-1.425742268562317,-1.1496907472610474,-0.8178935050964355,-0.7522649168968201,-0.46799007058143616
bidirectional,13100,-1.1800053119659424,-2.203902006149292,-1.5532890558242798,-1.1756186485290527,-0.8139046430587769,-0.7940327525138855,-0.5392847657203674
bidirectional,13200,-1.104912022749583,-2.259783983230591,-1.1889302730560303,-1.0703898668289185,-0.7522439360618591,-0.780239999294281,-0.5778840780258179
bidirectional,13300,-1.170499970515569,-2.3289482593536377,-1.2733824253082275,-1.136605978012085,-0.8293150663375854,-0.8462458252906799,-0.6085022687911987
bidirectional,13400,-1.1237209836641948,-2.0743496417999268,-1.3938672542572021,-1.109671950340271,-0.842264711856842,-0.7584412693977356,-0.5637310743331909
bidirectional,13500,-1.1241419812043507,-2.1816494464874268,-1.3994368314743042,-0.9795987010002136,-0.827527642250061,-0.780446469783783,-0.5761927962303162
bidirectional,13600,-1.2191086113452911,-2.3416943550109863,-1.5325877666473389,-1.055580496788025,-0.8990713953971863,-0.8554022908210754,-0.630315363407135
bidirectional,13700,-1.1074272791544597,-2.1874985694885254,-1.342126488685608,-1.0197678804397583,-0.8284317255020142,-0.6552077531814575,-0.6115312576293945
bidirectional,13800,-1.2069512009620667,-2.206481456756592,-1.5529769659042358,-1.1513923406600952,-0.8257545232772827,-0.8991703987121582,-0.6059315204620361
bidirectional,13900,-0.9955305457115173,-1.2746284008026123,-1.4141467809677124,-1.0017038583755493,-0.7841225266456604,-0.8661882877349854,-0.6323934197425842
bidirectional,14000,-1.2128808200359344,-2.2482314109802246,-1.5608532428741455,-1.0862878561019897,-0.8111969828605652,-0.9037877917289734,-0.6669276356697083
bidirectional,14100,-1.1311918199062347,-1.8679442405700684,-1.4604718685150146,-1.1697773933410645,-0.8508414030075073,-0.8310742378234863,-0.6070417761802673
bidirectional,14200,-1.148037960131963,-2.1264986991882324,-1.498997688293457,-1.0491727590560913,-0.8093231320381165,-0.8333687782287598,-0.5708667039871216
bidirectional,14300,-1.1853174964586894,-2.275045156478882,-1.3873616456985474,-1.109642744064331,-0.9122167825698853,-0.8123345971107483,-0.6153040528297424
bidirectional,14400,-1.1548019746939342,-2.0927982330322266,-1.4053038358688354,-1.0791174173355103,-0.8407962322235107,-0.8741388916969299,-0.6366572380065918
bidirectional,14500,-1.2021382053693135,-2.3224167823791504,-1.46724271774292,-1.1601030826568604,-0.8369291424751282,-0.7788191437721252,-0.6473183631896973
bidirectional,14600,-1.1690149307250977,-1.9573463201522827,-1.5168297290802002,-1.1497471332550049,-0.9168184399604797,-0.8707619905471802,-0.6025859713554382
